Sun,06/08/17,Hammarby,1 - 2,Häcken,View events,More info
,,GIF Sundsvall,1 - 1,Östersunds FK,View events,More info
,,Kalmar,1 - 0,IFK Göteborg,View events,More info
,,Sirius,1 - 4,AIK,View events,More info
Mon,07/08/17,Norrköping,1 - 0,AFC Eskilstuna,View events,More info
,,Djurgården,0 - 1,Malmö FF,View events,More info
Thu,10/08/17,IFK Göteborg,2 - 1,AIK,View events,More info
Fri,11/08/17,Malmö FF,6 - 0,Kalmar,View events,More info
Sat,12/08/17,Halmstad,0 - 3,Sirius,View events,More info
Sun,13/08/17,Hammarby,2 - 2,Östersunds FK,View events,More info
,,AIK,1 - 1,AFC Eskilstuna,View events,More info
,,Jönköpings Södra,1 - 2,Örebro,View events,More info
,,Norrköping,0 - 1,Djurgården,View events,More info
Mon,14/08/17,Häcken,2 - 0,GIF Sundsvall,View events,More info
,,Elfsborg,1 - 2,IFK Göteborg,View events,More info
Fri,18/08/17,Jönköpings Södra,2 - 2,Elfsborg,View events,More info
Sat,19/08/17,AFC Eskilstuna,3 - 1,Malmö FF,View events,More info
Sun,20/08/17,Östersunds FK,0 - 3,AIK,View events,More info
,,Djurgården,2 - 1,Halmstad,View events,More info
,,Sirius,0 - 1,Norrköping,View events,More info
,,IFK Göteborg,1 - 1,Häcken,View events,More info
Mon,21/08/17,GIF Sundsvall,1 - 3,Kalmar,View events,More info
,,Örebro,0 - 3,Hammarby,View events,More info
Sat,26/08/17,AFC Eskilstuna,0 - 0,Hammarby,,More info
Sun,27/08/17,Norrköping,0 - 2,Östersunds FK,,
Sat,15/07/17,AFC Eskilstuna,2 - 1,Kalmar,View events,More info
,,GIF Sundsvall,1 - 0,Halmstad,View events,More info
,,Malmö FF,3 - 3,Sirius,View events,More info
Sun,16/07/17,Örebro,4 - 2,IFK Göteborg,View events,More info
,,Östersunds FK,2 - 1,Djurgården,View events,More info
,,AIK,1 - 0,Norrköping,View events,More info
Mon,17/07/17,Jönköpings Södra,0 - 1,Häcken,View events,More info
,,Elfsborg,3 - 0,Hammarby,View events,More info
Sat,22/07/17,Halmstad,2 - 2,GIF Sundsvall,View events,More info
,,Malmö FF,2 - 0,Jönköpings Södra,View events,More info
,,Sirius,2 - 2,Häcken,View events,More info
Sun,23/07/17,Djurgården,3 - 0,Östersunds FK,View events,More info
,,IFK Göteborg,2 - 2,Örebro,View events,More info
,,Kalmar,2 - 0,AFC Eskilstuna,View events,More info
Mon,24/07/17,Hammarby,2 - 1,Elfsborg,View events,More info
Sat,29/07/17,Jönköpings Södra,1 - 0,Hammarby,View events,More info
,,Elfsborg,0 - 2,Sirius,View events,More info
,,GIF Sundsvall,0 - 1,Malmö FF,View events,More info
Sun,30/07/17,Östersunds FK,0 - 0,Halmstad,,More info
,,IFK Göteborg,4 - 1,Norrköping,View events,More info
,,AIK,0 - 1,Kalmar,View events,More info
Mon,31/07/17,AFC Eskilstuna,1 - 2,Djurgården,View events,More info
,,Häcken,1 - 1,Örebro,View events,More info
Sat,05/08/17,Halmstad,6 - 1,Jönköpings Södra,View events,More info
,,Örebro,2 - 2,Elfsborg,,
Thu,01/06/17,Norrköping,0 - 0,AIK,,More info
Fri,02/06/17,Elfsborg,2 - 0,Häcken,View events,More info
Sat,03/06/17,Östersunds FK,3 - 1,GIF Sundsvall,View events,More info
,,Kalmar,0 - 1,Örebro,View events,More info
,,Jönköpings Södra,1 - 2,Malmö FF,View events,More info
Sun,04/06/17,AFC Eskilstuna,1 - 3,AIK,View events,More info
,,Hammarby,3 - 1,Djurgården,View events,More info
,,Sirius,2 - 1,Halmstad,View events,More info
,,Norrköping,2 - 0,IFK Göteborg,View events,More info
Sat,01/07/17,GIF Sundsvall,1 - 2,Sirius,View events,More info
,,Malmö FF,3 - 2,AFC Eskilstuna,View events,More info
,,Halmstad,1 - 1,Elfsborg,View events,More info
Sun,02/07/17,Jönköpings Södra,0 - 2,IFK Göteborg,View events,More info
,,AIK,2 - 2,Östersunds FK,View events,More info
,,Örebro,4 - 2,Norrköping,View events,More info
Mon,03/07/17,Häcken,2 - 0,Hammarby,View events,More info
,,Djurgården,4 - 1,Kalmar,View events,More info
Sat,08/07/17,Sirius,1 - 0,AFC Eskilstuna,View events,More info
,,Hammarby,3 - 1,Örebro,View events,More info
,,Häcken,0 - 1,Malmö FF,View events,More info
Sun,09/07/17,Norrköping,1 - 3,Elfsborg,View events,More info
,,Östersunds FK,1 - 1,Jönköpings Södra,View events,More info
,,Kalmar,0 - 1,AIK,View events,More info
Mon,10/07/17,IFK Göteborg,1 - 1,Halmstad,View events,More info
,,Djurgården,2 - 1,GIF Sundsvall,,
Sun,14/05/17,Malmö FF,2 - 1,Östersunds FK,View events,More info
Mon,15/05/17,Djurgården,1 - 0,IFK Göteborg,View events,More info
Tue,16/05/17,Norrköping,2 - 0,Kalmar,View events,More info
Wed,17/05/17,Östersunds FK,0 - 0,Sirius,,More info
,,Hammarby,1 - 1,Malmö FF,View events,More info
,,Häcken,2 - 1,Halmstad,View events,More info
,,Örebro,0 - 2,GIF Sundsvall,View events,More info
Thu,18/05/17,Jönköpings Södra,1 - 1,Djurgården,View events,More info
,,Elfsborg,2 - 1,AFC Eskilstuna,View events,More info
Sat,20/05/17,Östersunds FK,2 - 1,Kalmar,View events,More info
,,Halmstad,0 - 0,Örebro,,More info
Sun,21/05/17,AFC Eskilstuna,0 - 0,Häcken,,More info
,,Sirius,1 - 1,Hammarby,View events,More info
,,Malmö FF,1 - 2,Norrköping,View events,More info
Mon,22/05/17,GIF Sundsvall,0 - 4,IFK Göteborg,View events,More info
,,Elfsborg,3 - 0,Jönköpings Södra,View events,More info
,,Djurgården,0 - 1,AIK,View events,More info
Sat,27/05/17,Kalmar,3 - 0,GIF Sundsvall,View events,More info
,,Djurgården,4 - 1,AFC Eskilstuna,View events,More info
,,Norrköping,3 - 2,Halmstad,View events,More info
Sun,28/05/17,Hammarby,2 - 2,Jönköpings Södra,View events,More info
,,IFK Göteborg,1 - 1,Elfsborg,View events,More info
Mon,29/05/17,Häcken,0 - 1,Östersunds FK,View events,More info
,,AIK,0 - 1,Malmö FF,View events,More info
,,Örebro,2 - 1,Sirius,,
Thu,27/04/17,Norrköping,3 - 0,Jönköpings Södra,View events,More info
,,Kalmar,0 - 0,Malmö FF,,More info
,,AIK,1 - 0,Sirius,View events,More info
Sat,29/04/17,Hammarby,4 - 0,AFC Eskilstuna,View events,More info
Sun,30/04/17,AIK,0 - 0,GIF Sundsvall,,More info
Mon,01/05/17,Malmö FF,2 - 1,Örebro,View events,More info
,,Kalmar,2 - 0,Halmstad,View events,More info
,,Sirius,1 - 1,Jönköpings Södra,View events,More info
,,Djurgården,3 - 3,Norrköping,View events,More info
Tue,02/05/17,Häcken,4 - 0,IFK Göteborg,View events,More info
,,Elfsborg,4 - 4,Östersunds FK,View events,More info
Fri,05/05/17,Häcken,2 - 2,Sirius,View events,More info
Sat,06/05/17,Halmstad,0 - 1,AIK,View events,More info
Sun,07/05/17,Östersunds FK,2 - 1,Hammarby,View events,More info
,,IFK Göteborg,3 - 0,Kalmar,View events,More info
,,Jönköpings Södra,1 - 0,AFC Eskilstuna,View events,More info
,,Örebro,0 - 4,Djurgården,View events,More info
Mon,08/05/17,Norrköping,0 - 0,GIF Sundsvall,,More info
,,Elfsborg,1 - 2,Malmö FF,View events,More info
Fri,12/05/17,AFC Eskilstuna,1 - 2,Norrköping,View events,More info
