Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SW1-1718.csv,04/06/17,Gefle,Örgryte,0,1
SW1-1718.csv,04/06/17,Falkenberg,Helsingborg,1,1
SW1-1718.csv,05/06/17,GAIS,Trelleborg,1,0
SW1-1718.csv,10/06/17,Norrby,Syrianska,1,1
SW1-1718.csv,10/06/17,Degerfors,Gefle,2,0
SW1-1718.csv,10/06/17,Frej,Falkenberg,2,0
SW1-1718.csv,10/06/17,Varberg,Trelleborg,0,0
SW1-1718.csv,11/06/17,GAIS,Åtvidaberg,0,1
SW1-1718.csv,11/06/17,Öster,Värnamo,1,2
SW1-1718.csv,12/06/17,Örgryte,Dalkurd,1,0
SW1-1718.csv,12/06/17,Helsingborg,Brommapojkarna,0,4
SW1-1718.csv,17/06/17,Brommapojkarna,GAIS,3,2
SW1-1718.csv,17/06/17,Varberg,Degerfors,4,0
SW1-1718.csv,17/06/17,Värnamo,Falkenberg,1,1
SW1-1718.csv,17/06/17,Åtvidaberg,Öster,1,1
SW1-1718.csv,17/06/17,Syrianska,Frej,4,2
SW1-1718.csv,18/06/17,Dalkurd,Helsingborg,5,0
SW1-1718.csv,18/06/17,Norrby,Örgryte,5,1
SW1-1718.csv,19/06/17,Trelleborg,Gefle,0,1
SW1-1718.csv,22/06/17,Örgryte,Degerfors,1,2
SW1-1718.csv,25/06/17,Gefle,Åtvidaberg,0,1
SW1-1718.csv,25/06/17,Öster,Varberg,5,2
SW1-1718.csv,25/06/17,Frej,GAIS,0,1
SW1-1718.csv,25/06/17,Falkenberg,Syrianska,3,1
SW1-1718.csv,26/06/17,Trelleborg,Brommapojkarna,3,1
SW1-1718.csv,26/06/17,Värnamo,Helsingborg,1,1
SW1-1718.csv,26/06/17,Dalkurd,Norrby,4,1
SW1-1718.csv,22/07/17,Norrby,Falkenberg,0,3
SW1-1718.csv,22/07/17,Varberg,Gefle,2,0
SW1-1718.csv,22/07/17,Degerfors,Trelleborg,2,3
SW1-1718.csv,22/07/17,Åtvidaberg,Brommapojkarna,0,5
SW1-1718.csv,22/07/17,Helsingborg,Örgryte,1,0
SW1-1718.csv,23/07/17,Frej,Dalkurd,0,3
SW1-1718.csv,23/07/17,Syrianska,Värnamo,1,5
SW1-1718.csv,24/07/17,GAIS,Öster,2,2
SW1-1718.csv,29/07/17,Brommapojkarna,Frej,0,1
SW1-1718.csv,29/07/17,Trelleborg,Värnamo,2,1
SW1-1718.csv,29/07/17,Syrianska,Helsingborg,1,2
SW1-1718.csv,29/07/17,Gefle,GAIS,2,1
SW1-1718.csv,29/07/17,Dalkurd,Degerfors,1,1
SW1-1718.csv,30/07/17,Öster,Åtvidaberg,3,0
SW1-1718.csv,30/07/17,Falkenberg,Varberg,2,1
SW1-1718.csv,31/07/17,Örgryte,Norrby,2,1
SW1-1718.csv,04/08/17,Degerfors,Örgryte,3,0
SW1-1718.csv,05/08/17,Norrby,Helsingborg,3,2
SW1-1718.csv,05/08/17,Varberg,Öster,1,3
SW1-1718.csv,05/08/17,GAIS,Falkenberg,1,1
SW1-1718.csv,05/08/17,Frej,Syrianska,2,3
SW1-1718.csv,06/08/17,Åtvidaberg,Dalkurd,1,4
SW1-1718.csv,06/08/17,Brommapojkarna,Trelleborg,3,0
SW1-1718.csv,06/08/17,Värnamo,Gefle,2,2
SW1-1718.csv,08/08/17,Öster,GAIS,2,0
SW1-1718.csv,08/08/17,Syrianska,Norrby,3,4
SW1-1718.csv,09/08/17,Dalkurd,Frej,3,2
SW1-1718.csv,09/08/17,Örgryte,Brommapojkarna,0,2
SW1-1718.csv,09/08/17,Gefle,Varberg,2,0
SW1-1718.csv,09/08/17,Falkenberg,Värnamo,2,0
SW1-1718.csv,10/08/17,Trelleborg,Degerfors,2,1
SW1-1718.csv,10/08/17,Helsingborg,Åtvidaberg,0,0
SW1-1718.csv,12/08/17,Öster,Gefle,1,1
SW1-1718.csv,12/08/17,GAIS,Syrianska,2,1
SW1-1718.csv,13/08/17,Varberg,Brommapojkarna,1,1
SW1-1718.csv,13/08/17,Värnamo,Dalkurd,1,1
SW1-1718.csv,14/08/17,Åtvidaberg,Örgryte,0,0
SW1-1718.csv,14/08/17,Frej,Helsingborg,4,0
SW1-1718.csv,15/08/17,Trelleborg,Norrby,5,1
SW1-1718.csv,15/08/17,Degerfors,Falkenberg,1,1
SW1-1718.csv,18/08/17,Örgryte,Frej,1,3
SW1-1718.csv,19/08/17,Syrianska,Öster,2,1
SW1-1718.csv,19/08/17,Degerfors,Varberg,1,0
SW1-1718.csv,20/08/17,Brommapojkarna,Värnamo,2,1
SW1-1718.csv,20/08/17,Helsingborg,GAIS,1,0
SW1-1718.csv,20/08/17,Norrby,Dalkurd,0,3
SW1-1718.csv,20/08/17,Falkenberg,Åtvidaberg,2,0
SW1-1718.csv,21/08/17,Gefle,Trelleborg,1,2
SW1-1718.csv,26/08/17,Frej,Norrby,1,2
SW1-1718.csv,26/08/17,Dalkurd,Örgryte,2,1
SW1-1718.csv,27/08/17,Varberg,Syrianska,3,1
SW1-1718.csv,27/08/17,Brommapojkarna,Falkenberg,1,5
SW1-1718.csv,28/08/17,Värnamo,Öster,2,1
SW1-1718.csv,28/08/17,GAIS,Degerfors,1,0
SW1-1718.csv,28/08/17,Åtvidaberg,Gefle,0,2
SW1-1718.csv,29/08/17,Trelleborg,Helsingborg,1,1
SW1-1718.csv,01/09/17,Öster,Frej,1,0
SW1-1718.csv,02/09/17,Degerfors,Brommapojkarna,3,2
SW1-1718.csv,02/09/17,Falkenberg,Gefle,0,4
SW1-1718.csv,03/09/17,Syrianska,Trelleborg,0,2
SW1-1718.csv,04/09/17,Norrby,Varberg,1,1
SW1-1718.csv,04/09/17,GAIS,Örgryte,1,1
SW1-1718.csv,04/09/17,Åtvidaberg,Värnamo,1,3
SW1-1718.csv,05/09/17,Helsingborg,Dalkurd,2,2
SW1-1718.csv,08/09/17,Degerfors,Öster,1,1
SW1-1718.csv,09/09/17,Varberg,Värnamo,2,1
SW1-1718.csv,09/09/17,Frej,Åtvidaberg,1,0
SW1-1718.csv,09/09/17,Dalkurd,Falkenberg,1,1
SW1-1718.csv,10/09/17,Gefle,Norrby,3,2
SW1-1718.csv,10/09/17,Örgryte,Syrianska,3,0
SW1-1718.csv,11/09/17,Trelleborg,GAIS,2,0
SW1-1718.csv,12/09/17,Brommapojkarna,Helsingborg,1,1
SW1-1718.csv,16/09/17,Åtvidaberg,Syrianska,0,1
SW1-1718.csv,16/09/17,Gefle,Dalkurd,0,1
SW1-1718.csv,17/09/17,Falkenberg,Örgryte,1,1
SW1-1718.csv,17/09/17,Norrby,Brommapojkarna,1,0
SW1-1718.csv,17/09/17,Värnamo,Degerfors,2,1
SW1-1718.csv,18/09/17,Öster,Trelleborg,0,1
SW1-1718.csv,18/09/17,Helsingborg,Varberg,2,0
SW1-1718.csv,19/09/17,GAIS,Frej,1,0
SW1-1718.csv,23/09/17,Degerfors,Frej,3,1
SW1-1718.csv,23/09/17,Brommapojkarna,Åtvidaberg,3,1
SW1-1718.csv,23/09/17,Varberg,Dalkurd,1,0
SW1-1718.csv,24/09/17,Norrby,Öster,0,2
SW1-1718.csv,24/09/17,Syrianska,Gefle,1,2
SW1-1718.csv,24/09/17,Helsingborg,Falkenberg,0,0
SW1-1718.csv,25/09/17,Värnamo,GAIS,2,0
SW1-1718.csv,26/09/17,Örgryte,Trelleborg,2,0
SW1-1718.csv,29/09/17,Falkenberg,Norrby,1,4
SW1-1718.csv,30/09/17,Öster,Örgryte,1,1
SW1-1718.csv,30/09/17,Frej,Värnamo,5,0
SW1-1718.csv,30/09/17,GAIS,Brommapojkarna,0,0
SW1-1718.csv,01/10/17,Dalkurd,Syrianska,4,2
SW1-1718.csv,01/10/17,Åtvidaberg,Degerfors,1,3
