Sun,29/05/16,Hammarby,2 - 1,Gefle,View events,More info
,,Helsingborg,1 - 3,IFK Göteborg,View events,More info
,,Falkenberg,1 - 2,Kalmar,View events,More info
,,Norrköping,0 - 0,Elfsborg,,More info
,,Häcken,3 - 1,Djurgården,View events,More info
Sat,09/07/16,Djurgården,0 - 1,Norrköping,View events,More info
,,Häcken,4 - 2,Hammarby,View events,More info
,,Gefle,1 - 2,Falkenberg,View events,More info
Sun,10/07/16,IFK Göteborg,4 - 1,GIF Sundsvall,View events,More info
,,Östersunds FK,1 - 0,Jönköpings Södra,View events,More info
,,Helsingborg,2 - 4,Elfsborg,View events,More info
,,Kalmar,1 - 1,AIK,View events,More info
Mon,11/07/16,Malmö FF,1 - 0,Örebro,View events,More info
Sat,16/07/16,Norrköping,3 - 3,Östersunds FK,View events,More info
,,GIF Sundsvall,0 - 2,Helsingborg,View events,More info
Sun,17/07/16,Elfsborg,1 - 1,IFK Göteborg,View events,More info
,,AIK,1 - 1,Malmö FF,View events,More info
,,Hammarby,3 - 3,Falkenberg,View events,More info
,,Örebro,0 - 0,Häcken,,More info
Mon,18/07/16,Gefle,4 - 2,Kalmar,View events,More info
,,Jönköpings Södra,1 - 0,Djurgården,View events,More info
Sat,23/07/16,Norrköping,2 - 0,Gefle,View events,More info
,,Malmö FF,1 - 1,Kalmar,View events,More info
,,Falkenberg,1 - 3,Örebro,,
Sun,24/07/16,Hammarby,0 - 3,AIK,View events,More info
,,IFK Göteborg,2 - 1,Jönköpings Södra,View events,More info
,,Helsingborg,0 - 2,Häcken,View events,More info
Mon,25/07/16,Elfsborg,3 - 1,Östersunds FK,View events,More info
,,Djurgården,1 - 3,GIF Sundsvall,View events,More info
Sat,30/07/16,Östersunds FK,0 - 0,Elfsborg,,More info
,,GIF Sundsvall,1 - 2,Norrköping,View events,More info
,,Gefle,0 - 2,Hammarby,View events,More info
Sun,31/07/16,Jönköpings Södra,1 - 1,IFK Göteborg,View events,More info
,,AIK,2 - 0,Falkenberg,View events,More info
,,Häcken,1 - 1,Helsingborg,View events,More info
Mon,01/08/16,Örebro,0 - 3,Malmö FF,View events,More info
,,Kalmar,2 - 1,Djurgården,View events,More info
Fri,05/08/16,Helsingborg,2 - 3,Gefle,View events,More info
Sat,06/08/16,Östersunds FK,4 - 0,GIF Sundsvall,View events,More info
,,Falkenberg,0 - 5,Jönköpings Södra,View events,More info
Sun,07/08/16,Malmö FF,2 - 0,AIK,View events,More info
,,Elfsborg,2 - 4,Häcken,View events,More info
,,Hammarby,2 - 1,Kalmar,View events,More info
,,Norrköping,3 - 1,Örebro,View events,More info
Mon,08/08/16,Djurgården,3 - 1,IFK Göteborg,View events,More info
Wed,10/08/16,Norrköping,3 - 1,Häcken,View events,More info
Fri,12/08/16,IFK Göteborg,2 - 0,Falkenberg,View events,More info
Sat,13/08/16,AIK,2 - 1,Helsingborg,View events,More info
,,Gefle,0 - 0,Norrköping,,
Sun,14/08/16,Kalmar,1 - 1,Malmö FF,View events,More info
,,Djurgården,2 - 2,Elfsborg,View events,More info
,,Häcken,0 - 1,Örebro,View events,More info
Mon,15/08/16,Jönköpings Södra,1 - 1,Östersunds FK,View events,More info
,,GIF Sundsvall,0 - 0,Hammarby,,More info
Sat,20/08/16,Östersunds FK,1 - 0,Djurgården,View events,More info
,,Helsingborg,0 - 1,Kalmar,View events,More info
Sun,21/08/16,Hammarby,2 - 0,IFK Göteborg,View events,More info
,,Örebro,0 - 2,AIK,View events,More info
,,Falkenberg,1 - 1,Gefle,View events,More info
Mon,22/08/16,Elfsborg,4 - 0,GIF Sundsvall,View events,More info
,,Malmö FF,4 - 1,Jönköpings Södra,View events,More info
Sat,27/08/16,Kalmar,0 - 1,Norrköping,View events,More info
,,Djurgården,2 - 1,Gefle,View events,More info
Sun,28/08/16,Jönköpings Södra,1 - 0,Elfsborg,View events,More info
,,AIK,0 - 0,Hammarby,,More info
,,Häcken,3 - 1,Östersunds FK,View events,More info
,,GIF Sundsvall,0 - 1,Malmö FF,View events,More info
,,IFK Göteborg,2 - 0,Helsingborg,View events,More info
,,Örebro,3 - 2,Falkenberg,View events,More info
Sat,10/09/16,Elfsborg,1 - 1,Kalmar,View events,More info
Sun,11/09/16,GIF Sundsvall,1 - 3,AIK,View events,More info
,,Falkenberg,1 - 2,Djurgården,View events,More info
,,Östersunds FK,2 - 0,Helsingborg,View events,More info
,,Norrköping,5 - 1,Jönköpings Södra,View events,More info
Mon,12/09/16,Malmö FF,3 - 1,IFK Göteborg,View events,More info
,,Hammarby,1 - 1,Örebro,View events,More info
,,Gefle,2 - 2,Häcken,View events,More info
Fri,16/09/16,Jönköpings Södra,0 - 1,Hammarby,View events,More info
,,Örebro,3 - 3,GIF Sundsvall,View events,More info
Sat,17/09/16,Kalmar,2 - 0,Östersunds FK,View events,More info
Sun,18/09/16,Elfsborg,5 - 0,Falkenberg,View events,More info
,,AIK,1 - 0,Gefle,View events,More info
,,Helsingborg,1 - 2,Norrköping,View events,More info
,,Djurgården,3 - 1,Malmö FF,View events,More info
Mon,19/09/16,Häcken,2 - 2,IFK Göteborg,View events,More info
Wed,21/09/16,Östersunds FK,0 - 2,Norrköping,View events,More info
,,Helsingborg,2 - 1,GIF Sundsvall,View events,More info
