Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SW1-1617.csv,02/04/16,Varberg,Åtvidaberg,2,1
SW1-1617.csv,02/04/16,GAIS,Frej,2,0
SW1-1617.csv,03/04/16,Degerfors,AFC Eskilstuna,0,2
SW1-1617.csv,03/04/16,Ängelholm,Syrianska,1,0
SW1-1617.csv,03/04/16,Ljungskile,Örgryte,1,1
SW1-1617.csv,03/04/16,Assyriska,Dalkurd,2,1
SW1-1617.csv,04/04/16,Trelleborg,Värnamo,0,0
SW1-1617.csv,04/04/16,Sirius,Halmstad,2,1
SW1-1617.csv,09/04/16,Dalkurd,Varberg,1,1
SW1-1617.csv,09/04/16,Halmstad,Trelleborg,3,0
SW1-1617.csv,09/04/16,AFC Eskilstuna,GAIS,3,0
SW1-1617.csv,09/04/16,Frej,Assyriska,2,1
SW1-1617.csv,10/04/16,Värnamo,Ljungskile,0,2
SW1-1617.csv,10/04/16,Åtvidaberg,Sirius,0,3
SW1-1617.csv,10/04/16,Syrianska,Degerfors,1,1
SW1-1617.csv,11/04/16,Örgryte,Ängelholm,0,1
SW1-1617.csv,16/04/16,Varberg,Värnamo,0,2
SW1-1617.csv,16/04/16,Degerfors,Frej,2,2
SW1-1617.csv,16/04/16,GAIS,Syrianska,1,1
SW1-1617.csv,17/04/16,Ängelholm,Halmstad,0,1
SW1-1617.csv,17/04/16,Ljungskile,Åtvidaberg,2,2
SW1-1617.csv,17/04/16,Assyriska,Örgryte,0,1
SW1-1617.csv,18/04/16,Trelleborg,AFC Eskilstuna,1,0
SW1-1617.csv,18/04/16,Sirius,Dalkurd,1,2
SW1-1617.csv,23/04/16,AFC Eskilstuna,Ljungskile,1,0
SW1-1617.csv,23/04/16,Halmstad,GAIS,2,0
SW1-1617.csv,23/04/16,Frej,Ängelholm,1,2
SW1-1617.csv,24/04/16,Dalkurd,Trelleborg,1,0
SW1-1617.csv,24/04/16,Syrianska,Varberg,0,2
SW1-1617.csv,24/04/16,Värnamo,Sirius,0,0
SW1-1617.csv,24/04/16,Åtvidaberg,Assyriska,2,1
SW1-1617.csv,25/04/16,Örgryte,Degerfors,3,1
SW1-1617.csv,30/04/16,Degerfors,Åtvidaberg,0,3
SW1-1617.csv,30/04/16,GAIS,Örgryte,0,0
SW1-1617.csv,30/04/16,Varberg,Frej,2,2
SW1-1617.csv,01/05/16,Ljungskile,Dalkurd,1,0
SW1-1617.csv,01/05/16,Assyriska,Halmstad,0,2
SW1-1617.csv,01/05/16,Ängelholm,Värnamo,0,4
SW1-1617.csv,02/05/16,Trelleborg,Syrianska,0,0
SW1-1617.csv,02/05/16,Sirius,AFC Eskilstuna,0,0
SW1-1617.csv,05/05/16,Örgryte,Varberg,3,0
SW1-1617.csv,07/05/16,Halmstad,Degerfors,0,1
SW1-1617.csv,07/05/16,Åtvidaberg,Trelleborg,2,0
SW1-1617.csv,07/05/16,AFC Eskilstuna,Ängelholm,3,2
SW1-1617.csv,07/05/16,Frej,Sirius,2,2
SW1-1617.csv,08/05/16,Syrianska,Ljungskile,1,0
SW1-1617.csv,08/05/16,Dalkurd,GAIS,2,2
