Sat,02/04/16,Varberg,2 - 1,Åtvidaberg,View events,More info
,,GAIS,2 - 0,Frej,View events,More info
Sun,03/04/16,Degerfors,0 - 2,AFC Eskilstuna,View events,More info
,,Ängelholm,1 - 0,Syrianska,View events,More info
,,Ljungskile,1 - 1,Örgryte,View events,More info
,,Assyriska,2 - 1,Dalkurd,View events,More info
Mon,04/04/16,Trelleborg,0 - 0,Värnamo,,More info
,,Sirius,2 - 1,Halmstad,View events,More info
Sat,09/04/16,Dalkurd,1 - 1,Varberg,View events,More info
,,Halmstad,3 - 0,Trelleborg,View events,More info
,,AFC Eskilstuna,3 - 0,GAIS,View events,More info
,,Frej,2 - 1,Assyriska,View events,More info
Sun,10/04/16,Värnamo,0 - 2,Ljungskile,View events,More info
,,Åtvidaberg,0 - 3,Sirius,View events,More info
,,Syrianska,1 - 1,Degerfors,,
Mon,11/04/16,Örgryte,0 - 1,Ängelholm,View events,More info
Sat,16/04/16,Varberg,0 - 2,Värnamo,View events,More info
,,Degerfors,2 - 2,Frej,View events,More info
,,GAIS,1 - 1,Syrianska,View events,More info
Sun,17/04/16,Ängelholm,0 - 1,Halmstad,View events,More info
,,Ljungskile,2 - 2,Åtvidaberg,View events,More info
,,Assyriska,0 - 1,Örgryte,View events,More info
Mon,18/04/16,Trelleborg,1 - 0,AFC Eskilstuna,View events,More info
,,Sirius,1 - 2,Dalkurd,View events,More info
Sat,23/04/16,AFC Eskilstuna,1 - 0,Ljungskile,View events,More info
,,Halmstad,2 - 0,GAIS,View events,More info
,,Frej,1 - 2,Ängelholm,View events,More info
Sun,24/04/16,Dalkurd,1 - 0,Trelleborg,View events,More info
,,Syrianska,0 - 2,Varberg,View events,More info
,,Värnamo,0 - 0,Sirius,,More info
,,Åtvidaberg,2 - 1,Assyriska,View events,More info
Mon,25/04/16,Örgryte,3 - 1,Degerfors,View events,More info
Sat,30/04/16,Degerfors,0 - 3,Åtvidaberg,View events,More info
,,GAIS,0 - 0,Örgryte,View events,More info
,,Varberg,2 - 2,Frej,View events,More info
Sun,01/05/16,Ljungskile,1 - 0,Dalkurd,View events,More info
,,Assyriska,0 - 2,Halmstad,View events,More info
,,Ängelholm,0 - 4,Värnamo,View events,More info
Mon,02/05/16,Trelleborg,0 - 0,Syrianska,,More info
,,Sirius,0 - 0,AFC Eskilstuna,,
Thu,05/05/16,Örgryte,3 - 0,Varberg,View events,More info
Sat,07/05/16,Halmstad,0 - 1,Degerfors,View events,More info
,,Åtvidaberg,2 - 0,Trelleborg,View events,More info
,,AFC Eskilstuna,3 - 2,Ängelholm,View events,More info
,,Frej,2 - 2,Sirius,View events,More info
Sun,08/05/16,Syrianska,1 - 0,Ljungskile,View events,More info
,,Dalkurd,2 - 2,GAIS,View events,More info
,,Värnamo,1 - 0,Assyriska,View events,More info
Wed,11/05/16,Trelleborg,2 - 2,Örgryte,View events,More info
,,Sirius,3 - 1,Syrianska,View events,More info
,,Ängelholm,1 - 2,Dalkurd,View events,More info
,,Ljungskile,2 - 2,Frej,View events,More info
,,Degerfors,3 - 1,Värnamo,View events,More info
,,Assyriska,0 - 2,AFC Eskilstuna,View events,More info
,,GAIS,1 - 0,Åtvidaberg,View events,More info
Thu,12/05/16,Varberg,0 - 1,Halmstad,View events,More info
Sat,14/05/16,Ängelholm,0 - 3,Assyriska,View events,More info
Sun,15/05/16,Örgryte,1 - 2,Sirius,View events,More info
,,Dalkurd,2 - 2,Degerfors,View events,More info
,,AFC Eskilstuna,1 - 1,Varberg,View events,More info
,,Värnamo,1 - 1,GAIS,View events,More info
,,Frej,0 - 2,Trelleborg,View events,More info
,,Syrianska,2 - 0,Åtvidaberg,View events,More info
Mon,16/05/16,Halmstad,1 - 0,Ljungskile,View events,More info
Sat,21/05/16,Sirius,6 - 0,Degerfors,View events,More info
Sat,21/05/16,Värnamo,1 - 0,Syrianska,View events,More info
,,Frej,2 - 1,Örgryte,View events,More info
,,Trelleborg,4 - 0,Ljungskile,View events,More info
Sun,22/05/16,GAIS,7 - 0,Ängelholm,View events,More info
,,Assyriska,1 - 1,Varberg,View events,More info
Mon,23/05/16,Åtvidaberg,4 - 0,AFC Eskilstuna,View events,More info
,,Halmstad,0 - 0,Dalkurd,View events,More info
Sat,28/05/16,Dalkurd,2 - 0,Frej,View events,More info
,,Ljungskile,2 - 2,Ängelholm,View events,More info
,,Degerfors,0 - 3,Assyriska,View events,More info
,,Varberg,1 - 0,Sirius,View events,More info
Sun,29/05/16,Trelleborg,1 - 1,GAIS,View events,More info
,,Syrianska,1 - 3,AFC Eskilstuna,View events,More info
Mon,30/05/16,Åtvidaberg,1 - 0,Värnamo,View events,More info
,,Örgryte,1 - 2,Halmstad,View events,More info
Sat,04/06/16,Dalkurd,5 - 0,Åtvidaberg,View events,More info
,,AFC Eskilstuna,1 - 0,Frej,View events,More info
,,Ängelholm,0 - 2,Varberg,View events,More info
,,Degerfors,0 - 0,Ljungskile,View events,More info
,,Sirius,2 - 1,Trelleborg,View events,More info
Mon,06/06/16,Assyriska,2 - 2,GAIS,View events,More info
,,Halmstad,2 - 0,Syrianska,View events,More info
Tue,07/06/16,Värnamo,4 - 2,Örgryte,View events,More info
Sat,11/06/16,AFC Eskilstuna,2 - 0,Örgryte,View events,More info
,,Varberg,2 - 1,Degerfors,,
Sat,11/06/16,GAIS,0 - 0,Sirius,View events,More info
,,Frej,1 - 1,Värnamo,View events,More info
,,Åtvidaberg,1 - 1,Halmstad,View events,More info
Sun,12/06/16,Ljungskile,1 - 1,Assyriska,View events,More info
,,Trelleborg,2 - 0,Ängelholm,View events,More info
,,Syrianska,1 - 2,Dalkurd,View events,More info
Thu,16/06/16,Värnamo,2 - 0,AFC Eskilstuna,View events,More info
Sat,18/06/16,Örgryte,0 - 1,Dalkurd,View events,More info
,,Varberg,1 - 0,GAIS,View events,More info
,,Degerfors,2 - 1,Trelleborg,View events,More info
,,Frej,5 - 2,Halmstad,View events,More info
,,Ängelholm,0 - 3,Åtvidaberg,View events,More info
Sun,19/06/16,Sirius,3 - 1,Ljungskile,View events,More info
,,Assyriska,1 - 1,Syrianska,View events,More info
Thu,23/06/16,Halmstad,5 - 2,Värnamo,View events,More info
Sun,26/06/16,Dalkurd,1 - 1,AFC Eskilstuna,View events,More info
,,Syrianska,0 - 3,Örgryte,View events,More info
,,Trelleborg,2 - 0,Assyriska,View events,More info
,,Sirius,1 - 0,Ängelholm,View events,More info
,,Åtvidaberg,0 - 1,Frej,View events,More info
Mon,27/06/16,Ljungskile,0 - 1,Varberg,View events,More info
Tue,28/06/16,GAIS,2 - 2,Degerfors,View events,More info
Sat,02/07/16,AFC Eskilstuna,4 - 1,Halmstad,View events,More info
,,Varberg,0 - 0,Trelleborg,,More info
,,Värnamo,1 - 0,Dalkurd,View events,More info
Sat,02/07/16,Ljungskile,1 - 0,GAIS,View events,More info
