Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SW0-1617.csv,02/04/16,Malmö FF,Norrköping,3,1
SW0-1617.csv,02/04/16,Kalmar,Jönköpings Södra,0,1
SW0-1617.csv,03/04/16,Häcken,Elfsborg,2,1
SW0-1617.csv,03/04/16,AIK,GIF Sundsvall,1,1
SW0-1617.csv,03/04/16,Gefle,Helsingborg,1,1
SW0-1617.csv,03/04/16,Falkenberg,IFK Göteborg,0,2
SW0-1617.csv,03/04/16,Örebro,Djurgården,0,2
SW0-1617.csv,04/04/16,Hammarby,Östersunds FK,1,1
SW0-1617.csv,06/04/16,Jönköpings Södra,Malmö FF,3,2
SW0-1617.csv,06/04/16,Norrköping,Kalmar,4,1
SW0-1617.csv,06/04/16,IFK Göteborg,Häcken,1,0
SW0-1617.csv,07/04/16,Östersunds FK,AIK,0,2
SW0-1617.csv,07/04/16,GIF Sundsvall,Gefle,1,2
SW0-1617.csv,07/04/16,Helsingborg,Örebro,1,3
SW0-1617.csv,07/04/16,Elfsborg,Hammarby,4,1
SW0-1617.csv,07/04/16,Djurgården,Falkenberg,5,0
SW0-1617.csv,09/04/16,Häcken,Norrköping,1,2
SW0-1617.csv,10/04/16,Hammarby,Helsingborg,5,1
SW0-1617.csv,10/04/16,Gefle,Djurgården,1,2
SW0-1617.csv,10/04/16,Kalmar,Elfsborg,3,2
SW0-1617.csv,10/04/16,Falkenberg,Östersunds FK,1,2
SW0-1617.csv,11/04/16,AIK,IFK Göteborg,3,3
SW0-1617.csv,11/04/16,Malmö FF,GIF Sundsvall,1,2
SW0-1617.csv,11/04/16,Örebro,Jönköpings Södra,2,1
SW0-1617.csv,15/04/16,Östersunds FK,Häcken,2,1
SW0-1617.csv,16/04/16,Helsingborg,Falkenberg,3,1
SW0-1617.csv,17/04/16,Norrköping,AIK,4,1
SW0-1617.csv,17/04/16,Jönköpings Södra,Gefle,1,0
SW0-1617.csv,17/04/16,IFK Göteborg,Kalmar,1,1
SW0-1617.csv,18/04/16,Elfsborg,Malmö FF,0,1
SW0-1617.csv,18/04/16,GIF Sundsvall,Örebro,3,1
SW0-1617.csv,19/04/16,Djurgården,Hammarby,1,3
SW0-1617.csv,22/04/16,Falkenberg,Norrköping,2,1
SW0-1617.csv,23/04/16,Hammarby,Jönköpings Södra,1,1
SW0-1617.csv,23/04/16,Gefle,Östersunds FK,0,0
SW0-1617.csv,24/04/16,Malmö FF,Djurgården,1,0
SW0-1617.csv,24/04/16,Häcken,GIF Sundsvall,0,1
SW0-1617.csv,24/04/16,Örebro,IFK Göteborg,3,2
SW0-1617.csv,25/04/16,AIK,Elfsborg,2,1
SW0-1617.csv,25/04/16,Kalmar,Helsingborg,2,3
SW0-1617.csv,26/04/16,Norrköping,Hammarby,3,1
SW0-1617.csv,27/04/16,Östersunds FK,Örebro,2,4
