Sat,01/04/17,Helsingborg,1 - 0,Trelleborg,View events,More info
,,Dalkurd,0 - 0,Brommapojkarna,,More info
Sun,02/04/17,Syrianska,2 - 3,Degerfors,View events,More info
,,Falkenberg,0 - 2,Öster,View events,More info
,,Norrby,0 - 0,GAIS,,More info
,,Värnamo,4 - 0,Åtvidaberg,View events,More info
,,Frej,2 - 2,Gefle,View events,More info
Mon,03/04/17,Örgryte,2 - 1,Varberg,View events,More info
Fri,07/04/17,Gefle,2 - 5,Värnamo,View events,More info
Sat,08/04/17,Degerfors,2 - 0,Norrby,View events,More info
,,Brommapojkarna,3 - 0,Örgryte,View events,More info
,,GAIS,0 - 1,Dalkurd,View events,More info
Sun,09/04/17,Varberg,3 - 3,Helsingborg,View events,More info
,,Trelleborg,2 - 2,Falkenberg,View events,More info
Mon,10/04/17,Öster,2 - 1,Syrianska,View events,More info
,,Åtvidaberg,1 - 2,Frej,View events,More info
Fri,14/04/17,Örgryte,2 - 1,Åtvidaberg,View events,More info
Sun,16/04/17,Dalkurd,0 - 0,Varberg,,More info
,,Norrby,1 - 1,Trelleborg,,
Sun,16/04/17,Syrianska,2 - 1,GAIS,View events,More info
Mon,17/04/17,Frej,0 - 1,Öster,View events,More info
,,Helsingborg,1 - 1,Gefle,View events,More info
,,Falkenberg,1 - 1,Degerfors,View events,More info
Tue,18/04/17,Värnamo,0 - 1,Brommapojkarna,View events,More info
Fri,21/04/17,Gefle,1 - 0,Syrianska,View events,More info
Sat,22/04/17,Öster,1 - 2,Dalkurd,View events,More info
,,Varberg,2 - 1,Frej,View events,More info
,,GAIS,0 - 0,Helsingborg,,More info
,,Degerfors,0 - 1,Värnamo,View events,More info
Sun,23/04/17,Åtvidaberg,1 - 1,Falkenberg,View events,More info
,,Brommapojkarna,3 - 0,Norrby,View events,More info
Mon,24/04/17,Trelleborg,6 - 0,Örgryte,View events,More info
Fri,28/04/17,Falkenberg,1 - 2,GAIS,View events,More info
Sat,29/04/17,Dalkurd,3 - 0,Gefle,View events,More info
Sun,30/04/17,Frej,1 - 3,Brommapojkarna,View events,More info
,,Syrianska,1 - 1,Varberg,View events,More info
Mon,01/05/17,Norrby,0 - 3,Åtvidaberg,View events,More info
,,Örgryte,1 - 1,Öster,View events,More info
,,Helsingborg,3 - 0,Degerfors,View events,More info
Tue,02/05/17,Värnamo,0 - 4,Trelleborg,View events,More info
Fri,05/05/17,Brommapojkarna,4 - 1,Öster,View events,More info
,,GAIS,2 - 1,Värnamo,View events,More info
Sat,06/05/17,Trelleborg,1 - 1,Syrianska,View events,More info
,,Degerfors,3 - 1,Dalkurd,View events,
Sun,07/05/17,Varberg,2 - 0,Norrby,View events,More info
,,Frej,2 - 2,Örgryte,View events,More info
Mon,08/05/17,Åtvidaberg,1 - 2,Helsingborg,View events,More info
,,Gefle,2 - 4,Falkenberg,View events,More info
Thu,11/05/17,Örgryte,0 - 0,GAIS,View events,More info
Fri,12/05/17,Syrianska,3 - 0,Åtvidaberg,View events,More info
Sat,13/05/17,Helsingborg,2 - 2,Frej,View events,More info
,,Falkenberg,2 - 1,Brommapojkarna,View events,More info
,,Dalkurd,3 - 0,Trelleborg,View events,More info
Sun,14/05/17,Öster,1 - 1,Degerfors,View events,More info
,,Värnamo,0 - 0,Varberg,,More info
Mon,15/05/17,Norrby,3 - 2,Gefle,View events,More info
Tue,16/05/17,Brommapojkarna,2 - 1,Syrianska,View events,More info
