Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SW0-1718.csv,06/08/17,Hammarby,Häcken,1,2
SW0-1718.csv,06/08/17,GIF Sundsvall,Östersunds FK,1,1
SW0-1718.csv,06/08/17,Kalmar,IFK Göteborg,1,0
SW0-1718.csv,06/08/17,Sirius,AIK,1,4
SW0-1718.csv,07/08/17,Norrköping,AFC Eskilstuna,1,0
SW0-1718.csv,07/08/17,Djurgården,Malmö FF,0,1
SW0-1718.csv,10/08/17,IFK Göteborg,AIK,2,1
SW0-1718.csv,11/08/17,Malmö FF,Kalmar,6,0
SW0-1718.csv,12/08/17,Halmstad,Sirius,0,3
SW0-1718.csv,13/08/17,Hammarby,Östersunds FK,2,2
SW0-1718.csv,13/08/17,AIK,AFC Eskilstuna,1,1
SW0-1718.csv,13/08/17,Jönköpings Södra,Örebro,1,2
SW0-1718.csv,13/08/17,Norrköping,Djurgården,0,1
SW0-1718.csv,14/08/17,Häcken,GIF Sundsvall,2,0
SW0-1718.csv,14/08/17,Elfsborg,IFK Göteborg,1,2
SW0-1718.csv,18/08/17,Jönköpings Södra,Elfsborg,2,2
SW0-1718.csv,19/08/17,AFC Eskilstuna,Malmö FF,3,1
SW0-1718.csv,20/08/17,Östersunds FK,AIK,0,3
SW0-1718.csv,20/08/17,Djurgården,Halmstad,2,1
SW0-1718.csv,20/08/17,Sirius,Norrköping,0,1
SW0-1718.csv,20/08/17,IFK Göteborg,Häcken,1,1
SW0-1718.csv,21/08/17,GIF Sundsvall,Kalmar,1,3
SW0-1718.csv,21/08/17,Örebro,Hammarby,0,3
SW0-1718.csv,26/08/17,AFC Eskilstuna,Hammarby,0,0
SW0-1718.csv,27/08/17,Norrköping,Östersunds FK,0,2
SW0-1718.csv,15/07/17,AFC Eskilstuna,Kalmar,2,1
SW0-1718.csv,15/07/17,GIF Sundsvall,Halmstad,1,0
SW0-1718.csv,15/07/17,Malmö FF,Sirius,3,3
SW0-1718.csv,16/07/17,Örebro,IFK Göteborg,4,2
SW0-1718.csv,16/07/17,Östersunds FK,Djurgården,2,1
SW0-1718.csv,16/07/17,AIK,Norrköping,1,0
SW0-1718.csv,17/07/17,Jönköpings Södra,Häcken,0,1
SW0-1718.csv,17/07/17,Elfsborg,Hammarby,3,0
SW0-1718.csv,22/07/17,Halmstad,GIF Sundsvall,2,2
SW0-1718.csv,22/07/17,Malmö FF,Jönköpings Södra,2,0
SW0-1718.csv,22/07/17,Sirius,Häcken,2,2
SW0-1718.csv,23/07/17,Djurgården,Östersunds FK,3,0
SW0-1718.csv,23/07/17,IFK Göteborg,Örebro,2,2
SW0-1718.csv,23/07/17,Kalmar,AFC Eskilstuna,2,0
SW0-1718.csv,24/07/17,Hammarby,Elfsborg,2,1
SW0-1718.csv,29/07/17,Jönköpings Södra,Hammarby,1,0
SW0-1718.csv,29/07/17,Elfsborg,Sirius,0,2
SW0-1718.csv,29/07/17,GIF Sundsvall,Malmö FF,0,1
