Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,19/08/17,Hibernian,Hamilton,1,3,A,0,0,D,S McLean,15,18,9,8,11,12,9,7,0,2,0,0,1.44,4.2,7.5,1.45,4.2,7,1.55,4,5.5,1.53,4,6.5,1.53,4.32,7.09,1.53,4,6.5,1.5,4.1,6,34,1.55,1.5,4.4,4.07,7.5,6.38,33,1.92,1.82,2.05,1.94,14,-1,1.93,1.88,2,1.95,1.52,4.4,7.15
SC0,19/08/17,Kilmarnock,Celtic,0,2,A,0,1,A,N Walsh,3,15,0,6,15,6,5,5,2,0,0,0,15,7,1.17,14,6.75,1.18,10.3,5.5,1.25,19,7,1.18,18.27,7.64,1.19,15,7.5,1.17,15,7,1.15,35,20,15.22,7.84,6.92,1.25,1.17,30,1.5,1.47,2.7,2.57,15,2,2.01,1.95,1.96,1.89,14.5,6.17,1.26
SC0,19/08/17,Motherwell,Ross County,2,0,H,0,0,D,A Muir,7,11,3,3,14,10,1,3,2,2,0,1,2.88,3.4,2.38,2.65,3.4,2.5,2.75,3.3,2.4,2.65,3.4,2.5,2.67,3.68,2.64,2.7,3.3,2.6,2.7,3.5,2.4,34,2.88,2.68,3.68,3.41,2.64,2.48,32,1.75,1.7,2.21,2.1,14,0,2.08,1.98,1.92,1.85,2.46,3.66,2.89
SC0,19/08/17,Rangers,Hearts,0,0,D,0,0,D,W Collum,10,7,2,0,11,7,13,2,2,1,0,0,1.62,3.75,5.5,1.62,3.9,5,1.65,3.6,5.1,1.67,3.9,5,1.66,4.13,5.54,1.67,3.8,5,1.62,4,4.75,35,1.68,1.64,4.13,3.84,5.54,5.02,33,1.76,1.71,2.2,2.08,14,-0.75,1.88,1.83,2.08,2.02,1.52,4.63,6.54
SC0,19/08/17,St Johnstone,Partick,1,0,H,1,0,H,B Cook,7,6,3,3,3,15,3,2,0,2,0,0,2.05,3.4,3.5,1.95,3.4,3.8,2.1,3.3,3.3,2.05,3.2,3.7,2.13,3.37,3.87,2.05,3.3,3.75,2.05,3.3,3.5,35,2.13,2.06,3.4,3.27,3.87,3.58,33,2.25,2.1,1.77,1.7,13,-0.5,2.13,2.08,1.81,1.78,2.17,3.48,3.62
SC0,26/08/17,Celtic,St Johnstone,1,1,D,0,1,A,W Collum,31,7,11,3,7,8,12,1,2,3,0,0,1.17,7.5,13,1.18,6.75,14,1.2,6,12,1.17,6.5,19,1.19,7.53,18.76,1.17,7,17,1.15,7,15,34,1.2,1.16,7.84,6.85,19.05,15.82,30,1.6,1.56,2.43,2.34,13,-2,1.98,1.94,1.98,1.91,1.17,8.3,21.39
SC0,26/08/17,Kilmarnock,Hamilton,2,2,D,1,0,H,A Dallas,6,14,2,6,9,11,1,4,3,1,0,0,2.4,3.4,2.8,2.45,3.4,2.7,2.4,3.3,2.75,2.37,3.1,2.87,2.5,3.36,3.05,2.5,3.2,2.9,2.38,3.3,2.88,34,2.55,2.41,3.5,3.27,3.05,2.84,33,2.14,2.03,1.83,1.75,11,0,1.8,1.76,2.17,2.12,2.51,3.24,3.15
SC0,26/08/17,Motherwell,Hearts,2,1,H,2,1,H,J Beaton,8,11,3,5,14,20,5,3,2,3,0,0,3.3,3.5,2.1,3.4,3.5,2.05,3.3,3.3,2.1,3.1,3.4,2.15,3.37,3.67,2.19,3.3,3.5,2.1,3.2,3.5,2.1,30,3.6,3.23,3.7,3.47,2.2,2.11,29,1.79,1.73,2.18,2.06,12,0.25,2.02,1.97,1.94,1.89,3.44,3.56,2.21
SC0,26/08/17,Partick,Aberdeen,3,4,A,2,2,D,B Madden,5,16,3,8,12,9,5,9,1,0,1,0,4.75,4,1.67,4.33,4,1.7,4.7,3.6,1.7,4.6,3.6,1.7,4.98,3.97,1.75,4.5,3.8,1.73,4.5,3.75,1.7,34,5.1,4.63,4,3.77,1.75,1.7,33,1.95,1.87,1.98,1.9,12,0.75,1.96,1.91,2,1.95,4.86,3.66,1.83
SC0,27/08/17,Dundee,Hibernian,1,1,D,1,1,D,D Robertson,5,16,3,9,13,11,1,15,2,2,0,0,3.6,3.5,2,3.7,3.3,2,3.6,3.3,2,3.6,3.25,2,3.83,3.59,2.06,3.8,3.3,2,3.6,3.4,2,33,4,3.64,3.59,3.37,2.12,2,33,2.1,2,1.87,1.78,12,0.5,1.88,1.84,2.06,2.02,3.88,3.67,2.02
SC0,27/08/17,Ross County,Rangers,1,3,A,0,2,A,C Thomson,8,14,2,3,17,17,5,6,2,0,0,0,5,4,1.62,5,3.75,1.65,4.7,3.6,1.7,4.8,3.8,1.61,5.17,4.34,1.66,4.8,4,1.67,4.8,4,1.62,33,5.45,4.88,4.34,3.95,1.7,1.63,27,1.73,1.66,2.27,2.15,12,0.75,2.09,2.05,1.85,1.82,6.56,4.55,1.53
SC0,08/09/17,Hamilton,Celtic,1,4,A,0,3,A,D Robertson,5,15,4,6,10,4,3,15,1,0,0,0,12,6,1.22,12,6,1.22,10.3,5.5,1.25,13,5.75,1.25,13.66,6.48,1.25,13,6,1.22,11.5,6,1.22,34,14.3,11.84,6.55,5.9,1.28,1.23,28,1.62,1.55,2.48,2.37,13,1.75,1.99,1.94,1.97,1.93,15,6.95,1.23
SC0,09/09/17,Hearts,Aberdeen,0,0,D,0,0,D,C Thomson,18,11,9,4,20,11,10,2,3,1,0,0,3.6,3.6,1.95,3.5,3.5,2,3.6,3.3,2,3.6,3.5,2,3.72,3.79,2.03,3.5,3.5,2.05,3.5,3.6,1.95,34,3.72,3.53,3.79,3.53,2.08,1.99,32,1.83,1.77,2.11,2.01,12,0.5,1.89,1.86,2.04,2,3.77,3.59,2.08
SC0,09/09/17,Motherwell,Kilmarnock,2,0,H,0,0,D,B Madden,15,5,8,2,11,9,6,5,3,1,0,0,2.05,3.4,3.6,2.1,3.3,3.4,2.1,3.3,3.3,2.1,3.3,3.4,2.13,3.59,3.62,2.1,3.4,3.4,2.05,3.5,3.3,34,2.23,2.09,3.6,3.4,3.62,3.36,32,1.99,1.91,1.94,1.86,12,-0.25,1.87,1.84,2.08,2.02,2.04,3.62,3.85
SC0,09/09/17,Rangers,Dundee,4,1,H,1,0,H,A Dallas,19,7,10,1,6,9,10,2,1,2,0,0,1.3,5,10,1.33,5,8.5,1.35,4.8,7.6,1.33,5,9.5,1.34,5.69,9.79,1.33,5,9,1.3,5.25,8.5,34,1.35,1.32,5.69,5.13,10,8.72,26,1.56,1.53,2.6,2.39,12,-1.5,1.99,1.93,1.99,1.93,1.25,6.72,13
